,Logan Potable,North Cache Potable,South Cache Potable,Cache Total
1966,0.0,0.0,2960.628448570794,2960.62844857
1967,0.0,47.320431104791155,0.0,47.3204311048
1968,0.0,46.825896121710734,615.9144600407626,662.740356162
1969,0.0,46.915074561282616,450.2857763631735,497.200850924
1970,0.0,47.20693127260876,1052.9698852516694,1100.17681652
1971,0.0,0.0,0.0,0.0
1972,0.0,47.24746692695962,0.0,47.247466927
1973,0.0,47.42558059217726,0.0,47.4255805922
1974,0.0,47.369073890012174,179.6648025670419,227.033876457
1975,0.0,0.0,0.0,0.0
1976,0.0,46.906481002560234,761.6039796284016,808.510460631
1977,0.0,140.67469164527736,9277.399264845371,9418.07395649
1978,0.0,46.95561021563346,764.0834645337345,811.039074749
1979,0.0,54.69451520168109,2494.4448317851416,2549.13934699
1980,0.0,46.76103907474937,0.0,46.7610390747
1981,0.0,138.7122795468438,8411.347064651125,8550.0593442
1982,0.0,0.0,0.0,0.0
1983,0.0,0.0,0.0,0.0
1984,0.0,0.0,0.0,0.0
1985,0.0,139.62076463215516,0.0,139.620764632
1986,0.0,0.0,0.0,0.0
1987,0.0,140.15583526958642,4048.4872093796257,4188.64304465
1988,0.0,140.1882637930671,8447.022250831385,8587.21051462
1989,0.0,140.3909420648214,4261.607465694676,4401.99840776
1990,0.0,140.02498617734187,8690.39969776616,8830.42468394
1991,0.0,139.83965716564975,5030.0044102791935,5169.84406744
1992,0.0,141.1611194974876,11651.031470260612,11792.1925898
1993,0.0,47.4177166752332,595.0971315349555,642.51484821
1994,0.0,140.81559357980092,4784.774240726658,4925.58983431
1995,0.0,47.74200191004003,0.0,47.74200191
1996,0.0,47.369073890012174,2460.5085441052242,2507.877618
1997,0.0,46.97182447737381,0.0,46.9718244774
1998,0.0,140.27744223263898,0.0,140.277442233
1999,0.0,140.59362033657567,0.0,140.593620337
2000,0.0,233.7693618553007,4727.781191780666,4961.55055364
2001,0.0,140.61794172918616,5082.0802411385,5222.69818287
2002,0.0,140.33419214873018,4637.126038320786,4777.46023047
2003,0.0,139.96126412870234,5028.3469073727865,5168.3081715
2004,0.0,140.15583526958642,5241.425898391707,5381.58173366
2005,0.0,47.35285962827184,0.0,47.3528596283
